Date,Open,High,Low,Close,Volume,WMA,DEMA,ADX.DIp,ADX.DIn,ADX.DX,ADX.ADX,MACD.macd,MACD.signal,CCI,MO,RSI,ATR.tr,ATR.atr,ATR.trueHigh,ATR.trueLow,CLV,CMF,CMO,EMV.emv,EMV.maEMV,MFI,ROC,VHF,SAR,TRIX.TRIX,TRIX.signal,WPR,SNR
2018-04-03,1168.17,1174.10,1163.11,1165.17,1640000000.00,1179.64,1177.01,18.32,31.57,26.57,13.83,-0.205,0.019,-111.00,-17.07,33.01,12.13,12.97,1175.24,1163.11,-0.62500000,0.00591000,-46.52,-0.00024100,-0.00025200,47.00,-0.0086100,0.4099045,1190.85,0.02720,0.01500,0.79138,1.43916
2018-04-04,1166.24,1170.25,1136.63,1136.72,2840000000.00,1175.39,1169.51,15.27,39.42,44.15,16.00,-0.464,-0.078,-218.00,-33.28,19.18,33.62,14.45,1170.25,1136.63,-0.99500000,-0.04630000,-62.74,-0.00180000,-0.00046700,35.04,-0.0247000,0.4544458,1189.45,0.02950,0.01390,0.99851,3.07379
2018-04-05,1144.85,1149.65,1136.17,1147.21,1380000000.00,1172.29,1164.97,14.25,37.01,44.40,18.03,-0.591,-0.180,-199.00,-22.54,30.24,13.48,14.38,1149.65,1136.17,0.63800000,0.00006860,-44.82,-0.00103000,-0.00040900,35.30,0.0091900,0.4605263,1186.28,0.03130,0.01350,0.80850,2.35054
2018-04-09,1146.71,1160.26,1144.88,1159.00,1300000000.00,1170.43,1163.23,18.41,34.19,30.00,18.88,-0.604,-0.265,-124.00,-13.17,40.35,15.38,14.45,1160.26,1144.88,0.83600000,0.01870000,-24.42,0.00114000,-0.00040300,41.55,0.0102000,0.4889634,1182.27,0.03240,0.01360,0.60399,1.52942
2018-04-10,1163.28,1166.33,1153.66,1164.71,1280000000.00,1169.17,1162.80,20.27,32.03,22.48,19.14,-0.569,-0.326,-77.30,-25.95,44.19,12.67,14.32,1166.33,1153.66,0.74400000,-0.00454000,-17.43,0.00073500,-0.00035900,47.63,0.0049100,0.4236092,1178.58,0.03230,0.01420,0.50494,1.57278
2018-04-11,1166.69,1170.40,1159.51,1164.07,1130000000.00,1167.98,1162.36,21.22,30.26,17.57,19.03,-0.538,-0.368,-54.60,-31.84,43.17,10.89,14.08,1170.40,1159.51,-0.16300000,-0.07780000,-17.26,0.00047800,-0.00020200,47.18,-0.0005500,0.3546272,1175.19,0.03090,0.01510,0.51605,1.67617
2018-04-12,1165.43,1169.78,1159.85,1166.38,874000000.00,1167.15,1162.43,20.13,28.71,17.57,18.92,-0.493,-0.393,-45.20,-29.03,45.13,9.93,13.78,1169.78,1159.85,0.31500000,-0.07640000,-14.25,-0.00001590,-0.00005510,46.96,0.0019800,0.3682008,1172.07,0.02830,0.01610,0.47598,0.83048
2018-04-17,1166.08,1167.83,1155.26,1157.32,1100000000.00,1165.60,1160.87,18.81,29.22,21.68,19.12,-0.514,-0.417,-65.90,-37.94,38.49,12.57,13.70,1167.83,1155.26,-0.67200000,-0.09440000,-20.47,-0.00037400,-0.00005580,46.72,-0.0078000,0.3570873,1169.78,0.02420,0.01710,0.63313,0.49262
2018-04-18,1161.69,1170.33,1160.65,1170.16,1340000000.00,1165.46,1161.90,18.84,27.23,18.22,19.05,-0.436,-0.421,-22.20,-22.33,50.81,13.01,13.65,1170.33,1157.32,0.96500000,-0.04000000,-13.97,0.00028500,-0.00009040,48.43,0.0110000,0.3464193,1136.17,0.01930,0.01800,0.41041,0.11908
2018-04-19,1174.94,1188.87,1173.69,1188.65,1660000000.00,1167.18,1166.17,26.49,24.63,3.64,17.95,-0.244,-0.386,80.40,4.02,63.77,18.71,14.01,1188.87,1170.16,0.97100000,0.05000000,0.38,0.00144000,0.00009680,49.19,0.0157000,0.3351244,1136.17,0.01410,0.01870,0.03298,0.94503
2018-04-20,1190.12,1198.48,1183.67,1194.87,1900000000.00,1169.48,1171.00,29.38,22.78,12.66,17.58,-0.049,-0.318,125.00,11.00,68.55,14.81,14.07,1198.48,1183.67,0.51200000,0.07990000,12.02,0.00076300,0.00038100,56.36,0.0052200,0.3250025,1138.28,0.00860,0.01920,0.05794,2.08392
2018-04-23,1194.25,1198.11,1184.94,1185.35,1140000000.00,1170.81,1173.44,27.41,21.25,12.66,17.22,0.039,-0.247,104.00,2.35,60.44,13.17,14.00,1198.11,1184.94,-0.93800000,0.06940000,15.54,0.00005200,0.00050100,60.53,-0.0080000,0.3137332,1141.89,0.00263,0.01930,0.21072,3.43826
2018-04-24,1190.19,1196.94,1180.11,1183.41,1590000000.00,1171.95,1175.19,25.09,21.88,6.83,16.48,0.095,-0.178,88.30,1.18,59.06,16.83,14.20,1196.94,1180.11,-0.60800000,0.05860000,8.87,-0.00031800,0.00033900,52.30,-0.0016400,0.3413209,1145.29,-0.00373,0.01900,0.24186,2.51173
2018-04-25,1177.38,1182.74,1170.91,1176.61,1550000000.00,1172.44,1175.47,23.50,25.16,3.42,15.55,0.091,-0.125,31.30,-5.25,53.11,12.50,14.08,1183.41,1170.91,-0.03630000,0.02210000,1.02,-0.00089300,0.00015800,45.91,-0.0057600,0.3385329,1148.48,-0.01050,0.01830,0.35099,1.23830
2018-04-26,1176.92,1181.37,1168.90,1171.85,1120000000.00,1172.50,1174.85,22.00,24.58,5.55,14.83,0.055,-0.089,20.10,-16.01,49.53,12.47,13.97,1181.37,1168.90,-0.52700000,-0.01870000,5.18,-0.00018800,0.00008400,47.08,-0.0040500,0.3310999,1151.48,-0.01760,0.01700,0.42738,0.50833
2018-04-27,1175.37,1177.59,1167.44,1177.59,1290000000.00,1173.18,1175.35,20.83,24.04,7.15,14.29,0.065,-0.058,27.80,-10.51,55.91,10.15,13.69,1177.59,1167.44,1.00000000,0.04740000,38.44,-0.00020600,0.00006290,57.76,0.0048900,0.3121587,1154.30,-0.02430,0.01520,0.33526,0.99001
2018-04-30,1179.90,1181.22,1174.86,1177.02,988000000.00,1173.86,1175.67,22.08,23.21,2.49,13.44,0.068,-0.033,52.70,-0.90,54.38,6.36,13.17,1181.22,1174.86,-0.32100000,0.06240000,30.93,0.00035600,0.00014400,64.31,-0.0004840,0.3156375,1156.95,-0.03020,0.01290,0.40037,0.82310
2018-05-02,1174.72,1186.26,1170.47,1186.26,1280000000.00,1175.42,1177.63,22.91,21.25,3.76,12.75,0.133,0.000,67.10,22.16,62.48,15.79,13.36,1186.26,1170.47,1.00000000,0.14300000,29.05,0.00004010,0.00011700,64.32,0.0078200,0.3134464,1159.44,-0.03470,0.01030,0.27265,2.19025
2018-05-03,1182.77,1191.14,1182.25,1184.62,1330000000.00,1176.72,1179.01,24.47,20.22,9.52,12.52,0.170,0.034,88.70,12.83,60.06,8.89,13.04,1191.14,1182.25,-0.46700000,0.07260000,22.18,0.00055700,0.00001810,64.47,-0.0013800,0.3120649,1161.78,-0.03870,0.00727,0.32068,1.13138
2018-05-04,1182.33,1185.94,1174.11,1175.71,1660000000.00,1177.11,1178.58,22.87,23.39,1.11,11.71,0.138,0.055,41.00,0.47,48.91,11.83,12.95,1185.94,1174.11,-0.73000000,0.00142000,11.87,-0.00047500,-0.00012000,56.68,-0.0075500,0.2999856,1163.98,-0.04240,0.00393,0.52684,1.02004
2018-05-07,1180.38,1183.88,1172.78,1176.49,1320000000.00,1177.57,1178.34,21.46,22.68,2.77,11.07,0.116,0.067,32.80,11.32,49.70,11.10,12.82,1183.88,1172.78,-0.33200000,0.02240000,10.48,-0.00014300,-0.00014100,50.86,0.0006630,0.2999711,1166.05,-0.04550,0.00029,0.50879,1.46721
2018-05-08,1177.05,1178.09,1157.97,1161.46,1830000000.00,1176.55,1175.40,19.15,28.17,19.06,11.64,-0.005,0.053,-47.80,24.74,35.34,20.12,13.34,1178.09,1157.97,-0.65300000,0.08340000,4.04,-0.00113000,-0.00023200,49.02,-0.0129000,0.2801961,1198.48,-0.04760,-0.00357,0.91385,1.79807
2018-05-09,1162.18,1164.17,1154.82,1159.19,1770000000.00,1175.19,1172.46,18.17,28.45,22.05,12.38,-0.115,0.019,-105.00,11.98,32.99,9.35,13.06,1164.17,1154.82,-0.06520000,0.04600000,-11.94,-0.00045100,-0.00018300,41.53,-0.0019600,0.284976,1198.48,-0.04900,-0.00758,0.89991,1.87857
2018-05-10,1163.51,1164.44,1151.19,1153.50,1340000000.00,1173.24,1168.89,16.85,28.37,25.47,13.32,-0.238,-0.032,-128.00,-5.50,28.63,13.25,13.07,1164.44,1151.19,-0.65100000,-0.02540000,-44.43,-0.00016600,-0.00018000,33.95,-0.0049200,0.2780455,1196.73,-0.05000,-0.01170,0.95115,1.78752
2018-05-11,1155.09,1168.31,1151.94,1168.31,1360000000.00,1172.72,1168.52,17.45,25.88,19.46,13.76,-0.232,-0.072,-82.20,3.60,47.19,16.37,13.31,1168.31,1151.94,1.00000000,-0.01050000,-30.29,0.00027800,-0.00012600,31.98,0.0128000,0.2724173,1194.00,-0.05000,-0.01580,0.63512,0.26671
2018-05-14,1171.31,1174.60,1168.78,1172.57,1450000000.00,1172.59,1168.99,20.35,24.97,10.21,13.50,-0.195,-0.097,-18.40,8.50,51.55,6.29,12.80,1174.60,1168.31,0.30200000,0.01190000,-15.50,0.00046400,-0.00011400,38.80,0.0036400,0.2842999,1191.43,-0.04890,-0.01980,0.53268,0.39922
2018-05-15,1172.79,1174.17,1162.58,1168.56,1630000000.00,1172.03,1168.68,19.02,26.83,17.03,13.75,-0.191,-0.116,-47.80,2.18,47.39,11.59,12.72,1174.17,1162.58,0.03190000,0.00376000,-17.57,-0.00023600,-0.00014500,38.77,-0.0034300,0.2891549,1189.02,-0.04680,-0.02350,0.56521,0.67810
2018-05-16,1161.43,1164.55,1154.17,1156.63,1630000000.00,1170.34,1166.26,17.50,29.36,25.31,14.58,-0.268,-0.146,-124.00,-0.69,37.17,14.39,12.84,1168.56,1154.17,-0.52600000,-0.00034700,-22.29,-0.00057400,-0.00027100,38.67,-0.0103000,0.2782069,1186.75,-0.04360,-0.02690,0.86383,2.33908
2018-05-17,1158.06,1164.17,1153.25,1158.80,2080000000.00,1168.85,1164.58,16.42,28.07,26.18,15.41,-0.310,-0.179,-113.00,-11.36,39.35,10.92,12.70,1164.17,1153.25,0.01650000,-0.04240000,-14.99,-0.00003410,-0.00022200,46.77,0.0018700,0.2883788,1184.61,-0.03970,-0.02990,0.80951,2.06682
2018-05-18,1159.14,1164.06,1154.24,1161.26,1630000000.00,1167.64,1163.61,15.50,26.50,26.18,16.18,-0.322,-0.207,-92.50,-27.39,42.10,9.82,12.49,1164.06,1154.24,0.43000000,-0.07290000,-19.49,0.00002650,-0.00020300,47.58,0.0021200,0.3278093,1182.61,-0.03610,-0.03240,0.74793,1.18197
