,Date,Open,High,Low,Close,Volume,WMA,DEMA,ADX.DIp,ADX.DIn,ADX.DX,ADX.ADX,MACD.macd,MACD.signal,CCI,MO,RSI,ATR.tr,ATR.atr,ATR.trueHigh,ATR.trueLow,CLV,CMF,CMO,EMV.emv,EMV.maEMV,MFI,ROC,VHF,SAR,TRIX.TRIX,TRIX.signal,WPR,SNR
1698,2019-04-03,1101.29,1102.19,1095.17,1098.51,1060000000.0,1089.53,1091.98,19.46,16.71,7.63,13.62,0.155,-0.001,155.0,19.86,62.65,7.02,10.24,1102.19,1095.17,-0.0484,-0.0801,13.88,-9.04e-05,4.52e-05,62.79,-0.00156,0.2990255,1079.48,-0.0138,0.0738,0.14505,1.64518
1699,2019-04-04,1098.39,1099.27,1090.64,1094.76,788000000.0,1090.28,1092.62,18.28,18.89,1.63,12.76,0.167,0.032,91.9,10.18,57.13,8.63,10.12,1099.27,1090.64,-0.0452,-0.102,18.74,-0.000408,-5.87e-05,63.81,-0.00342,0.2871906,1081.38,-0.0199,0.0657,0.26004,0.74158
1700,2019-04-05,1095.86,1099.59,1093.14,1096.13,694000000.0,1091.1,1093.42,17.66,18.0,0.97,11.92,0.184,0.063,96.1,14.05,59.63,6.45,9.86,1099.59,1093.14,-0.0729,-0.0957,28.78,0.000131,0.000108,70.61,0.00125,0.2849078,1083.13,-0.0249,0.0574,0.24441,0.28437
1701,2019-04-09,1099.88,1107.62,1097.82,1105.37,859000000.0,1092.74,1095.77,21.95,16.52,14.12,12.07,0.262,0.103,153.0,26.01,70.49,11.49,9.98,1107.62,1096.13,0.541,-0.0457,28.37,0.000725,0.000174,70.97,0.00839,0.2598644,1084.73,-0.0288,0.0492,0.07277,2.28744
1702,2019-04-10,1106.61,1111.38,1105.4,1108.81,1140000000.0,1094.58,1098.4,23.75,15.79,20.14,12.65,0.346,0.151,172.0,29.35,74.52,6.01,9.69,1111.38,1105.37,0.14,-0.00568,35.61,0.000297,0.000211,71.7,0.00311,0.2758784,1087.02,-0.0316,0.0409,0.07411,2.16778
1703,2019-04-11,1107.78,1108.78,1103.44,1105.48,1200000000.0,1095.97,1100.05,22.78,16.64,15.59,12.86,0.383,0.198,128.0,16.38,68.15,5.37,9.38,1108.81,1103.44,-0.236,-0.0777,24.66,-0.000101,0.000184,62.91,-0.00301,0.2839721,1089.95,-0.0338,0.0329,0.17013,2.22901
1704,2019-04-12,1104.12,1107.26,1100.85,1105.42,930000000.0,1097.27,1101.44,21.64,17.82,9.68,12.63,0.407,0.239,101.0,18.3,69.52,6.41,9.17,1107.26,1100.85,0.426,-0.0281,10.62,-0.000142,0.000107,55.37,-5.43e-05,0.2931233,1092.52,-0.0348,0.0251,0.17186,1.95543
1705,2019-04-17,1108.99,1116.23,1107.05,1112.52,1080000000.0,1099.16,1103.9,26.74,16.34,24.14,13.46,0.473,0.286,146.0,32.51,78.78,10.81,9.29,1116.23,1105.42,0.192,0.0345,55.41,0.000645,0.00014,63.43,0.0064,0.3167547,1094.78,-0.0345,0.0178,0.10357,2.41577
1706,2019-04-18,1113.6,1116.32,1108.1,1114.04,1090000000.0,1101.05,1106.27,25.11,15.3,24.27,14.23,0.53,0.335,141.0,39.41,79.96,8.22,9.21,1116.32,1108.1,0.445,0.0802,51.88,4.3e-05,0.000122,64.07,0.00137,0.3390724,1097.78,-0.0331,0.0109,0.06349,2.13955
1707,2019-04-19,1113.56,1117.38,1110.82,1113.14,727000000.0,1102.65,1108.11,24.64,14.51,25.9,15.06,0.561,0.38,132.0,28.84,77.41,6.56,9.02,1117.38,1110.82,-0.293,0.0458,58.67,0.00017,0.000151,69.65,-0.000808,0.3603916,1100.75,-0.0309,0.00464,0.11742,1.49684
1708,2019-04-22,1115.9,1121.14,1113.03,1113.03,986000000.0,1104.11,1109.65,26.05,13.57,31.51,16.24,0.579,0.42,130.0,31.06,76.85,8.11,8.96,1121.14,1113.03,-1.0,0.0297,55.58,0.000246,0.000224,69.9,-9.88e-05,0.3966858,1103.74,-0.0279,-0.00099,0.24289,1.69243
